LocationName,Count,Coordinates,Latitude,Longitude
vigonovo,4,"(45.977046, 12.568718)",45.977046,12.568718
gurgl,4,"(46.87762, 11.03439)",46.87762,11.03439
new yorker,3,"(47.450773, 8.563051)",47.450773,8.563051
lausanne,3,"(46.520381, 6.63141)",46.520381,6.63141
rhein,3,"(53.938177, 21.546431)",53.938177,21.546431
arizona,3,"(34.255149, -111.62621)",34.255149,-111.62621
hamburg,3,"(53.576158, 10.007046)",53.576158,10.007046
lenzburg,3,"(47.388748, 8.17853)",47.388748,8.17853
georgia,3,"(41.867047, 43.785061)",41.867047,43.785061
spreitenbach,3,"(47.418359, 8.369214)",47.418359,8.369214
ohio,3,"(40.262259, -82.883453)",40.262259,-82.883453
washington,3,"(38.82652, -77.01712)",38.82652,-77.01712
wyoming,3,"(43.001645, -107.55153)",43.001645,-107.55153
offenburg,3,"(48.473373, 7.945307)",48.473373,7.945307
bali,3,"(-8.83292, 115.147651)",-8.83292,115.147651
athen,3,"(37.988579, 23.728541)",37.988579,23.728541
hotel,3,"(1.40049, -74.80662)",1.40049,-74.80662
texas,3,"(31.030974, -98.326329)",31.030974,-98.326329
amsterdam,3,"(52.37243, 4.89973)",52.37243,4.89973
istanbul,3,"(41.007107, 28.972182)",41.007107,28.972182
sydney,3,"(-33.868633, 151.209421)",-33.868633,151.209421
frankfurt,3,"(50.041821, 8.584764)",50.041821,8.584764
luxemburg,3,"(49.6113, 6.12941)",49.6113,6.12941
island,3,"(64.779262, -18.673522)",64.779262,-18.673522
grings,3,"(-29.668634, -51.094403)",-29.668634,-51.094403
holland,3,"(52.554205, 5.501896)",52.554205,5.501896
afrika,3,"(21.638471, 3.924068)",21.638471,3.924068
uruguay,3,"(-32.48333, -53.51667)",-32.48333,-53.51667
lugano,3,"(46.009425, 8.941339)",46.009425,8.941339
