Country,Count,Hauptstadt,Coordinates,Latitude,Longitude
Aserbaidschan,1,Baku,"(40.378395, 49.840288)",40.378395,49.840288
Bosnien und Herzegowina,1,Sarajevo,"(43.84864, 18.35644)",43.84864,18.35644
Saudi-Arabien,1,Riad,"(24.664126, 46.814232)",24.664126,46.814232
Niederlande (Regierungssitz),1,Den Haag,"(52.07114, 4.29916)",52.07114,4.29916
Armenien,1,Jerewan,"(40.155704, 44.524938)",40.155704,44.524938
Seychellen,1,Victoria,"(22.381131, 114.135572)",22.381131,114.135572
San Marino,1,San Marino,"(43.936245, 12.447407)",43.936245,12.447407
Südafrika,1,Pretoria (Tshwane),"(-25.746763, 28.206091)",-25.746763,28.206091
Tuvalu,1,Funafuti,"(-8.4379, 179.17031)",-8.4379,179.17031
Marokko,1,Rabat,"(33.970785, -6.842736)",33.970785,-6.842736
Somalia,1,Mogadischu,"(2.03711, 45.34375)",2.03711,45.34375
Liberia,1,Monrovia,"(6.31459, -10.802055)",6.31459,-10.802055
Costa Rica,1,San José,"(37.354559, -121.883844)",37.354559,-121.883844
Malediven,1,Malé,"(35.888972, 14.431432)",35.888972,14.431432
Vereinigte Arabische Emirate,1,Abu Dhabi,"(24.365909, 54.582942)",24.365909,54.582942
Sudan,1,Khartum,"(15.55177, 32.53241)",15.55177,32.53241
Mosambik,1,Maputo,"(-25.96553, 32.58322)",-25.96553,32.58322
Lettland,1,Riga,"(56.971149, 24.142749)",56.971149,24.142749
Mazedonien,1,Skopje,"(42.00122, 21.42878)",42.00122,21.42878
"Kongo, Demokratische Republik",1,Kinshasa,"(-4.32142, 15.30807)",-4.32142,15.30807
