Staat,Hauptstadt,Kontinent,Coordinates,Latitude,Longitude
Kap Verde,Praia,Afrika,"(14.916321, -23.510241)",14.916321,-23.510241
Kasachstan,Astana,Asien,"(51.189242, 71.43209)",51.189242,71.43209
Katar,Doha,Asien,"(25.251557, 51.564826)",25.251557,51.564826
Kenia,Nairobi,Afrika,"(-1.28333, 36.81667)",-1.28333,36.81667
Kirgisistan,Bischkek,Asien,"(42.87, 74.59)",42.87,74.59
Kiribati,South Tarawa,Australien und Ozeanien,"(1.338315, 173.03129)",1.338315,173.03129
Kolumbien,Bogotá,Amerika/Südamerika,"(4.635456, -74.08768)",4.635456,-74.08768
Komoren,Moroni,Afrika,"(-11.70216, 43.25506)",-11.70216,43.25506
"Kongo, Demokratische Republik",Kinshasa,Afrika,"(-4.32142, 15.30807)",-4.32142,15.30807
"Kongo, Republik",Brazzaville,Afrika,"(-4.26613, 15.28318)",-4.26613,15.28318
"Korea, Demokratische Volksrepublik (Nordkorea)",Pjöngjang,Asien,"(39.07094, 125.819733)",39.07094,125.819733
"Korea, Republik (Südkorea)",Seoul,Asien,"(37.539619, 127.009676)",37.539619,127.009676
Kosovo,Priština,Europa,"(42.67272, 21.16688)",42.67272,21.16688
Kroatien,Zagreb (Agram),Europa,"(45.806026, 15.976218)",45.806026,15.976218
Kuba,Havanna,Amerika/Westindien,"(23.13302, -82.38304)",23.13302,-82.38304
Kuwait,Kuwait-Stadt,Asien,"(29.329477, 47.945901)",29.329477,47.945901
Laos,Vientiane,Asien,"(18.846354, 102.315852)",18.846354,102.315852
Lesotho,Maseru,Afrika,"(-29.31667, 27.48333)",-29.31667,27.48333
Lettland,Riga,Europa,"(56.971149, 24.142749)",56.971149,24.142749
Libanon,Beirut,Asien,"(33.88432, 35.501527)",33.88432,35.501527
Liberia,Monrovia,Afrika,"(6.31459, -10.802055)",6.31459,-10.802055
Libyen,Tripolis,Afrika,"(32.8925, 13.180012)",32.8925,13.180012
Liechtenstein,Vaduz,Europa,"(47.167938, 9.512335)",47.167938,9.512335
Litauen,Vilnius,Europa,"(54.700902, 25.251531)",54.700902,25.251531
Luxemburg,Luxemburg,Europa,"(49.6113, 6.12941)",49.6113,6.12941
Madagaskar,Antananarivo,Afrika,"(-18.902964, 47.522391)",-18.902964,47.522391
Malawi,Lilongwe,Afrika,"(-13.96692, 33.78725)",-13.96692,33.78725
Malaysia (offiziell),Kuala Lumpur,Asien,"(3.160318, 101.691466)",3.160318,101.691466
Malediven,Malé,Asien,"(35.888972, 14.431432)",35.888972,14.431432
Mali,Bamako,Afrika,"(12.65, -8)",12.65,-8.0
Malta,Valletta,Europa,"(35.898936, 14.512859)",35.898936,14.512859
Marokko,Rabat,Afrika,"(33.970785, -6.842736)",33.970785,-6.842736
Marshallinseln,Majuro,Australien und Ozeanien,"(7.140155, 171.123046)",7.140155,171.123046
Mauretanien,Nouakchott,Afrika,"(18.088014, -15.983744)",18.088014,-15.983744
Mauritius,Port Louis,Afrika,"(-20.154478, 57.497475)",-20.154478,57.497475
Mazedonien,Skopje,Europa,"(42.00122, 21.42878)",42.00122,21.42878
Mexiko,Mexiko-Stadt,Amerika/Nordamerika,"(19.371422, -99.150344)",19.371422,-99.150344
"Mikronesien, Föderierte Staaten von",Palikir,Australien und Ozeanien,"(6.91621, 158.159725)",6.91621,158.159725
Moldawien,Chișinău,Europa,"(47.020682, 28.854719)",47.020682,28.854719
Monaco,Monaco,Europa,"(43.733783, 7.418464)",43.733783,7.418464
Mongolei,Ulaanbaatar,Asien,"(47.90771, 106.88324)",47.90771,106.88324
Montenegro,Podgorica,Europa,"(42.44111, 19.26361)",42.44111,19.26361
Mosambik,Maputo,Afrika,"(-25.96553, 32.58322)",-25.96553,32.58322
Myanmar (früher auch Birma),Pyinmana Naypyidaw,Asien,"(19.7381, 96.20742)",19.7381,96.20742
Namibia,Windhoek,Afrika,"(-22.73523, 17.592593)",-22.73523,17.592593
Nauru (inoffiziell),Yaren,Australien und Ozeanien,"(-0.543505, 166.923541)",-0.543505,166.923541
Nepal,Kathmandu,Asien,"(27.70169, 85.3206)",27.70169,85.3206
Neuseeland,Wellington,Australien und Ozeanien,"(-41.281385, 175.32902)",-41.281385,175.32902
Nicaragua,Managua,Amerika/Mittelamerika,"(12.13282, -86.2504)",12.13282,-86.2504
Niederlande (offiziell),Amsterdam,Europa,"(52.37243, 4.89973)",52.37243,4.89973
Niederlande (Regierungssitz),Den Haag,Europa,"(52.07114, 4.29916)",52.07114,4.29916
Niger,Niamey,Afrika,"(13.51366, 2.1098)",13.51366,2.1098
Nigeria,Abuja,Afrika,"(9.047364, 7.434935)",9.047364,7.434935
Norwegen,Oslo,Europa,"(59.974453, 10.735045)",59.974453,10.735045
Oman,Maskat,Asien,"(23.611705, 58.492641)",23.611705,58.492641
Österreich,Wien,Europa,"(48.198674, 16.348388)",48.198674,16.348388
Osttimor,Dili,Asien,"(28.665996, 77.115075)",28.665996,77.115075
Pakistan,Islamabad,Asien,"(33.679668, 73.029883)",33.679668,73.029883
Palau,Melekeok,Australien und Ozeanien,"(7.51149, 134.614918)",7.51149,134.614918
Panama,Panama-Stadt,Amerika/Mittelamerika,"(8.9936, -79.51973)",8.9936,-79.51973
Papua-Neuguinea,Port Moresby,Australien und Ozeanien,"(-9.434881, 147.208705)",-9.434881,147.208705
Paraguay,Asunción,Amerika/Südamerika,"(-25.30066, -57.63591)",-25.30066,-57.63591
Peru,Lima,Amerika/Südamerika,"(-12.049141, -77.021217)",-12.049141,-77.021217
Philippinen,Manila,Asien,"(14.593819, 120.992302)",14.593819,120.992302
Polen,Warschau,Europa,"(52.237695, 21.005427)",52.237695,21.005427
Portugal,Lissabon,Europa,"(38.748243, -9.140093)",38.748243,-9.140093
Ruanda,Kigali,Afrika,"(-1.947466, 30.059795)",-1.947466,30.059795
Rumänien,Bukarest,Europa,"(44.435842, 26.085733)",44.435842,26.085733
Russland,Moskau,Europa,"(55.741469, 37.615561)",55.741469,37.615561
Salomonen,Honiara,Australien und Ozeanien,"(-9.43333, 159.95)",-9.43333,159.95
Sambia,Lusaka,Afrika,"(-15.40669, 28.28713)",-15.40669,28.28713
Samoa,Apia,Australien und Ozeanien,"(-13.83333, -171.76666)",-13.83333,-171.76666
San Marino,San Marino,Europa,"(43.936245, 12.447407)",43.936245,12.447407
Saudi-Arabien,Riad,Asien,"(24.664126, 46.814232)",24.664126,46.814232
Schweden,Stockholm,Europa,"(59.275254, 18.035164)",59.275254,18.035164
Schweiz,Bern,Europa,"(46.946416, 7.396394)",46.946416,7.396394
Senegal,Dakar,Afrika,"(14.713018, -17.454726)",14.713018,-17.454726
Serbien,Belgrad,Europa,"(44.782449, 20.46444)",44.782449,20.46444
Seychellen,Victoria,Afrika,"(22.381131, 114.135572)",22.381131,114.135572
Sierra Leone,Freetown,Afrika,"(8.489846, -13.232287)",8.489846,-13.232287
Simbabwe,Harare,Afrika,"(-17.82772, 31.05337)",-17.82772,31.05337
Singapur,Singapur,Asien,"(1.366923, 103.801292)",1.366923,103.801292
Slowakei,Bratislava (Pressburg),Europa,"(48.165064, 17.145673)",48.165064,17.145673
Slowenien,Ljubljana (Laibach),Europa,"(46.063562, 14.48854)",46.063562,14.48854
Somalia,Mogadischu,Afrika,"(2.03711, 45.34375)",2.03711,45.34375
Spanien,Madrid,Europa,"(40.429913, -3.669245)",40.429913,-3.669245
Sri Lanka,Colombo,Asien,"(6.934744, 79.842725)",6.934744,79.842725
St. Kitts und Nevis,Basseterre,Amerika/Westindien,"(17.29484, -62.7261)",17.29484,-62.7261
St. Lucia,Castries,Amerika/Westindien,"(14.008326, -60.989868)",14.008326,-60.989868
St. Vincent und die Grenadinen,Kingstown,Amerika/Westindien,"(53.29395, -6.13586)",53.29395,-6.13586
Südafrika,Pretoria (Tshwane),Afrika,"(-25.746763, 28.206091)",-25.746763,28.206091
Sudan,Khartum,Afrika,"(15.55177, 32.53241)",15.55177,32.53241
Südsudan,Juba,Afrika,"(4.85165, 31.58247)",4.85165,31.58247
Suriname,Paramaribo,Amerika/Südamerika,"(5.822445, -55.172672)",5.822445,-55.172672
Swasiland,Mbabane,Afrika,"(-26.325631, 31.1445)",-26.325631,31.1445
Syrien,Damaskus,Asien,"(33.5102, 36.29128)",33.5102,36.29128
São Tomé und Príncipe,São Tomé,Afrika,"(0.252119, 6.600203)",0.252119,6.600203
Tadschikistan,Duschanbe,Asien,"(38.559318, 68.767547)",38.559318,68.767547
Tansania,Dodoma,Afrika,"(-6.181104, 35.746696)",-6.181104,35.746696
Thailand,Bangkok,Asien,"(13.881591, 100.644533)",13.881591,100.644533
Togo,Lomé,Afrika,"(6.130632, 1.223718)",6.130632,1.223718
Tonga,Nukuʻalofa,Australien und Ozeanien,"(-21.138512, -175.220564)",-21.138512,-175.220564
Trinidad und Tobago,Port-of-Spain,Amerika/Westindien,"(10.651997, -61.517031)",10.651997,-61.517031
Tschad,N’Djamena,Afrika,"(12.10672, 15.0444)",12.10672,15.0444
Tschechien,Prag,Europa,"(50.06694, 14.460249)",50.06694,14.460249
Tunesien,Tunis,Afrika,"(33.687264, 9.007775)",33.687264,9.007775
Türkei,Ankara,Asien,"(39.91987, 32.85427)",39.91987,32.85427
Turkmenistan,Aschgabat,Asien,"(37.95, 58.38333)",37.95,58.38333
Tuvalu,Funafuti,Australien und Ozeanien,"(-8.4379, 179.17031)",-8.4379,179.17031
Uganda,Kampala,Afrika,"(0.31628, 32.58219)",0.31628,32.58219
Ukraine,Kiew,Europa,"(50.469863, 30.431971)",50.469863,30.431971
Ungarn,Budapest,Europa,"(47.516581, 19.092281)",47.516581,19.092281
Uruguay,Montevideo,Amerika/Südamerika,"(-34.83346, -56.16735)",-34.83346,-56.16735
Usbekistan,Taschkent,Asien,"(41.26465, 69.21627)",41.26465,69.21627
Vanuatu,Port Vila,Australien und Ozeanien,"(-17.73381, 168.32188)",-17.73381,168.32188
Vatikanstadt,keine Hauptstadt,Europa,"(52.467969, 13.490268)",52.467969,13.490268
Venezuela,Caracas,Amerika/Südamerika,"(10.505146, -66.917878)",10.505146,-66.917878
Vereinigte Arabische Emirate,Abu Dhabi,Asien,"(24.365909, 54.582942)",24.365909,54.582942
Vereinigte Staaten von Amerika,"Washington, D.C.",Amerika/Nordamerika,"(38.82652, -77.01712)",38.82652,-77.01712
Vereinigtes Königreich,London,Europa,"(51.509648, -0.099076)",51.509648,-0.099076
Vietnam,Hanoi,Asien,"(21.0245, 105.84117)",21.0245,105.84117
Weißrussland,Minsk,Europa,"(53.9, 27.56667)",53.9,27.56667
Zentralafrikanische Republik,Bangui,Afrika,"(4.370245, 18.571353)",4.370245,18.571353
Zypern,Nikosia,Asien,"(35.178646, 33.368885)",35.178646,33.368885
Abchasien,Sochumi,,"(None, None)",,
Arzach,Stepanakert,,"(39.833994, 46.796791)",39.833994,46.796791
Cookinseln,Avarua,,"(-21.20778, -159.775)",-21.20778,-159.775
Kosovo,Pristina,,"(42.67272, 21.16688)",42.67272,21.16688
Niue,Alofi,,"(-19.05952, -169.91867)",-19.05952,-169.91867
Nordzypern,Nord-Nikosia,,"(-0.699018, 28.769618)",-0.699018,28.769618
Palästina,Ostjerusalem,,"(None, None)",,
Palästina,Ramallah,,"(31.898811, 35.195414)",31.898811,35.195414
Somaliland,Hargeysa,,"(9.56, 44.065)",9.56,44.065
Südossetien,Zchinwali,,"(42.22764, 43.96861)",42.22764,43.96861
Taiwan,Taipeh,,"(25.04776, 121.53185)",25.04776,121.53185
Transnistrien,Tiraspol,,"(46.848936, 29.630367)",46.848936,29.630367
Westsahara ,El Aaiún,,"(27.16224, -13.20315)",27.16224,-13.20315
Westsahara,Tifariti,,"(26.1579, -10.55889)",26.1579,-10.55889
